query_id,config,num_points,MAE,RMSE,MRE
1,N=1,5,1.447719999999817,1.9367783166896098,0.03960521202347191
1,N=2,5,0.5568440000000038,0.7558254033307183,0.03499886891727928
1,N=4,5,1.974126000000013,2.4536311673966273,0.19534161820044824
1,N=8,5,0.853395500000017,0.9893900132430304,0.12352571339430238
2,N=1,5,3.330144000000003,4.4836538109359045,0.42497041003223546
2,N=2,5,1.2825192000000007,1.8116531006781633,0.27440549366120226
2,N=4,5,0.20330679999999987,0.2967598027172815,0.12910733001443006
2,N=8,5,0.08601599999999984,0.10242898702613411,0.11215071786833852
3,N=1,5,1.447067199999967,1.8898181283887907,0.08149921892722498
3,N=2,5,0.8325740999999922,1.0203643908335547,0.09445180447193588
3,N=4,5,2.0214897300000114,2.825717255391985,0.23811503563072592
3,N=8,5,1.156389280000003,1.8165178908938004,0.1709740361897592
4,N=1,5,13.89747519999997,23.71445759581103,0.3286940254690725
4,N=2,5,5.661806319999997,9.47866845975749,0.24874383661621735
4,N=4,5,2.446256930000011,4.461676442336256,0.18848824560176833
4,N=8,5,2.0014125650000034,2.3085829132035984,0.3623332302720997
5,N=1,5,14.027970199999919,27.38625078793185,0.26507788523380144
5,N=2,5,3.5368621399999918,4.778439939478154,0.2585884165063002
5,N=4,5,2.9647214350000133,3.462915868056184,0.3164637720186912
5,N=8,5,2.3794717075000054,2.7226122491184004,0.35063200467329597
6,N=1,5,3.466620000000004,5.689706095924469,0.3431373728722261
6,N=2,5,0.49042900000000067,0.6163985517057948,0.2519662260889469
6,N=4,5,0.6499902499999998,0.7899097240357592,0.3343662060722458
6,N=8,5,0.21527450000000026,0.2887478058255382,0.17758738255619172
7,N=1,5,4.768735999999991,6.954445674438734,0.23141878605270533
7,N=2,5,2.685454799999993,4.73112792864585,0.2469410900793641
7,N=4,5,1.0723142000000037,1.4350437611671731,0.21438096138468027
7,N=8,5,0.21758140000000115,0.2608482434140589,0.10053721261181323
8,N=1,5,11.92595199999999,13.934772456429977,0.4572300496663765
8,N=2,5,7.106273600000004,7.858057676822898,0.5043608668826463
8,N=4,5,0.8102856000000089,1.2199589459663132,0.12951042256593112
8,N=8,5,0.15637799999999763,0.18217372600020917,0.05641734783494752
9,N=1,5,23.51683999999987,28.585143075940483,0.4616309680134667
9,N=2,5,9.445261999999977,12.85336144373443,0.32460435293957957
9,N=4,5,4.054016000000014,5.090341174320262,0.2765087338514201
9,N=8,5,0.7615590000000046,1.225452861535294,0.10949429672520199
10,N=1,5,0.7879599999999447,1.0210539395741713,0.07565129670229452
10,N=2,5,4.663445199999991,6.08485963625493,0.2616193853017913
10,N=4,5,1.3529542000000097,1.8341436067704358,0.16258660769761946
10,N=8,5,1.2503311000000052,1.7058242847902623,0.2313831548210123
11,N=1,5,0.3146880000000016,0.4688090592981354,0.08010499964347143
11,N=2,5,0.35964159999999995,0.47866829752888373,0.13172050526315787
11,N=4,5,0.3916063999999999,0.5008808848291177,0.23550185714285715
11,N=8,5,0.0828388000000001,0.11748022497765344,0.09487593492764514
12,N=1,5,6.981100799999956,11.394153260015198,0.29007907910685643
12,N=2,5,6.888202559999996,9.426733986736686,0.3587627696574773
12,N=4,5,2.2075742400000125,2.939047379127431,0.2765799526469423
12,N=8,5,0.6284600800000033,0.8028360941826018,0.13475032000000048
13,N=1,5,2.8179759999998866,4.000666480713647,0.10200599358192868
13,N=2,5,1.1761644800000144,1.4907984802343337,0.08982135213851822
13,N=4,5,0.9350272000000069,1.3956907992848817,0.11139554988445169
13,N=8,5,0.5458873600000095,0.6601214578302166,0.10379352484251507
14,N=1,5,1.9017600000000008,2.7090297362709053,0.2859767188940093
14,N=2,5,0.6089679999999998,0.6241273418782418,0.29756199999999994
14,N=4,5,0.5135720000000001,0.6877776923396104,0.2777562073207192
14,N=8,5,0.07440400000000033,0.07671480378649256,0.14319739211784602
15,N=1,5,1.2151679999999903,1.4840040995134611,0.16154712354312264
15,N=2,5,0.9302300800000047,1.6938240765292896,0.14586253014652065
15,N=4,5,1.3166673600000012,1.8399166157135385,0.2911622582601931
15,N=8,5,0.30133047999999973,0.46998833331576145,0.17622308352523908
16,N=1,5,2.040696000000009,2.2395874517241015,0.2561384276701934
16,N=2,5,0.19983280000000264,0.22710521803957112,0.08145098643660946
16,N=4,5,0.4942262000000007,0.587795042198214,0.25046282954545473
16,N=8,5,0.23314790000000016,0.25864489371375593,0.16530497105387013
17,N=1,5,9.570080799999968,12.000114936799365,0.30803227072081324
17,N=2,5,1.9494642799999888,3.3411568539893297,0.11546045548436368
17,N=4,5,0.3811292400000043,0.40678627094817016,0.10819961596501067
17,N=8,5,0.40327994999999695,0.4570811037063508,0.1426356817414684
18,N=1,5,40.350566400000375,48.9173881536473,0.376929117754929
18,N=2,5,8.042092799999708,14.005134106317412,0.17036291455386535
18,N=4,5,7.447284079999969,12.123896134772096,0.21669472819076643
18,N=8,5,0.800716680000038,1.183399771564125,0.08473720061900988
19,N=1,5,4.3835200000001135,4.704204725443121,0.22673971874846965
19,N=2,5,1.2255930000000212,1.3895959413841272,0.14554049907142966
19,N=4,5,2.514947900000015,2.897337303084381,0.2852369969026562
19,N=8,5,2.3268505500000094,2.89145923372873,0.33178278788969723
20,N=1,5,14.8604027999999,17.343991042476215,0.4067688083559352
20,N=2,5,3.15828795999998,4.6193646738976595,0.23807387976308264
20,N=4,5,0.9215545900000063,1.1827992843921338,0.14394716450857414
20,N=8,5,0.9158355950000086,1.247576691557593,0.1882312850561232
21,N=1,5,8.164608000000447,9.737677598130277,0.14321985594542028
21,N=2,5,5.188047999999712,7.037925515948754,0.19598712510619082
21,N=4,5,2.7083919999999515,3.369797484295662,0.11405772540194378
21,N=8,5,5.727979199999972,7.697544093581806,0.2578079073070333
22,N=1,5,4.391920000000006,6.414076655145318,0.2377715934758969
22,N=2,5,0.5726189999999983,0.6409809490142407,0.13957280544723508
22,N=4,5,0.9961091000000021,1.1828138776038288,0.25612177678571457
22,N=8,5,0.73745595,0.8425287390214351,0.2985037026429988
