database_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
10,1,1759967035393,0,12576,14848,0
10,1,1759967045396,10003,4963,5788,3
10,1,1759967045394,10001,5165,5991,1
10,1,1759967055394,20001,7024,7026,1
10,1,1759967055395,20002,7174,7176,2
10,1,1759967055395,20002,7273,7275,2
10,1,1759967075395,40002,9096,11097,2
10,1,1759967075396,40003,9539,11542,3
10,1,1759967075395,40002,9540,11542,2
10,1,1759967075394,40001,9603,11605,1
10,1,1759967095394,60001,11383,11385,1
10,1,1759967095395,60002,11636,11638,2
10,1,1759967095395,60002,11815,11817,2
10,1,1759967095396,60003,11872,11875,3
10,1,1759967095396,60003,10997,12251,3
10,1,1759967115396,80003,13430,13433,3
10,1,1759967115395,80002,13431,13433,2
10,1,1759967115396,80003,14428,14431,3
10,1,1759967115395,80002,14429,14432,2
10,1,1759967115396,80003,12085,14432,3
10,1,1759967115394,80001,14430,14432,1
10,1,1759967145397,110004,15744,16586,4
10,1,1759967145397,110004,15824,16664,4
10,1,1759967145396,110003,15862,16701,3
10,1,1759967145394,110001,15943,16783,1
10,1,1759967145397,110004,16002,16842,4
10,1,1759967145397,110004,15986,16846,4
10,1,1759967145396,110003,16053,16904,3
10,1,1759967175397,140004,17797,18777,4
10,1,1759967175397,140004,17797,18777,4
10,1,1759967175395,140002,17800,18778,2
10,1,1759967175396,140003,17798,18778,3
10,1,1759967175397,140004,17800,18778,4
10,1,1759967175394,140001,17799,18778,1
10,1,1759967175395,140002,17799,18778,2
10,1,1759967175397,140004,17798,18778,4
10,1,1759967205394,170001,19861,20676,1
10,1,1759967205395,170002,19712,20677,2
10,1,1759967205394,170001,19838,20677,1
10,1,1759967205395,170002,19728,20677,2
10,1,1759967205395,170002,19724,20677,2
10,1,1759967205394,170001,19828,20677,1
10,1,1759967205393,170000,19862,20677,0
10,1,1759967205395,170002,19722,20677,2
10,1,1759967205394,170001,19742,20684,1
10,1,1759967235395,200002,23457,23459,2
10,1,1759967235395,200002,23457,23459,2
10,1,1759967235395,200002,23477,23479,2
10,1,1759967235396,200003,23477,23480,3
10,1,1759967235393,200000,23547,23548,0
10,1,1759967235395,200002,23566,23568,2
10,1,1759967235395,200002,23865,23867,2
10,1,1759967235395,200002,23866,23868,2
10,1,1759967235394,200001,23867,23868,1
10,1,1759967235396,200003,22817,23868,3
